speaker,word,phone,prev,post,voicing,start,end,VOT
S11,t a,t,e,a,voiceless,229.55539224586016,229.5627978921343,0.00740564627415096
S11,h o r t a n,t,r,a,voiceless,237.98171303126813,237.9910520618622,0.00933903059407725
S11,s_m a h a r e t a i k,t,e,a,voiceless,259.88216783233673,259.894,0.01183216766327177
S11,h o r t i k,t,r,i,voiceless,271.09900000000005,271.11069554622816,0.01169554622811119
S11,b a t e t a a t,t,a,e,voiceless,273.607,273.6217664408924,0.01476644089234469
S11,b a t e t a a t,t,e,a,voiceless,273.77582135119604,273.787042027369,0.01122067617296807
S11,i kh a s_a i,kh,i,a,voiceless,275.32888267779936,275.36950110306884,0.04061842526948567
S11,t a,t,NA,a,voiceless,287.26683268572987,287.276,0.00916731427014383
S11,h o r t a n,t,r,a,voiceless,296.273141023489,296.28121991033356,0.00807888684454383
S11,e t a,t,e,a,voiceless,297.1992702113492,297.209001404853,0.00973119350379647
S11,t a,t,NA,a,voiceless,310.54087009554144,310.5490596993347,0.00818960379325517
S11,h o rr e k i n,k,e,i,voiceless,310.949,310.96999999999997,0.02099999999995816
S11,h o rr e k i n,k,e,i,voiceless,312.19800000000004,312.23208946297143,0.03408946297139437
S11,t a,t,NA,a,voiceless,324.37800000000004,324.38940023804054,0.01140023804049406
S11,g i n_d t i a n,t,n_d,i,voiceless,329.6615969376725,329.67393968146274,0.01234274379021371
S11,a r t e,t,r,e,voiceless,365.3343503100235,365.3440184742328,0.00966816420930172
S11,h a r t a n,t,r,a,voiceless,365.6722625043429,365.6809803172589,0.00871781291596107
S11,h o r i e k i n,k,e,i,voiceless,384.136,384.154,0.01799999999997226
S11,h o j t a n,t,j,a,voiceless,407.871,407.886,0.01499999999998635
S11,e tS e t i e r,t,e,i,voiceless,420.371,420.3839199597516,0.01291995975162763
S11,h o j t a n,t,j,a,voiceless,420.79100000000005,420.8049396814628,0.01393968146271618
S11,h o j t a n,t,j,a,voiceless,424.25307357515373,424.260030394381,0.00695681922724134
S11,s_m o p a,p,o,a,voiceless,432.4210386775829,432.42709784271625,0.00605916513336524
S11,s_m o p a,p,o,a,voiceless,436.29475045653174,436.312,0.01724954346826734
S11,a r t e,t,r,e,voiceless,446.0762749884193,446.086,0.00972501158071281
S11,h a r t a n,t,r,a,voiceless,446.3858369455704,446.393491951396,0.00765500582559752
S11,tS a t a,t,a,a,voiceless,448.2003165094328,448.20839539627735,0.00807888684454383
S11,t a,t,e,a,voiceless,479.7731054400695,479.779830890458,0.00672545038850103
S11,t a,t,y,a,voiceless,480.904,480.92,0.01600000000001955
S11,e s_m t a k i a t,t,s_m,a,voiceless,481.3367190052897,481.349,0.01228099471029509
S11,e s_m t a k j a t,t,s_m,a,voiceless,483.751,483.7631955462282,0.01219554622815621
S11,e m a s_m t j a,t,s_m,j,voiceless,486.4561598401563,486.4734396814627,0.01727984130639015
S11,o s_a p i t a l j a n,t,i,a,voiceless,486.835372524149,486.8483885085096,0.01301598436060658
S11,t e l e f o n a ts_m e n,t,NA,e,voiceless,488.40345514834416,488.4198373355567,0.01638218721251405
S11,s_m a k o t e n,t,o,e,voiceless,489.297,489.3079002380404,0.01090023804044904
S11,n u n a h i t i k,t,i,i,voiceless,489.9777110131095,490.002,0.02428898689049674
S11,n u m b a j t i,t,j,i,voiceless,491.95388176126545,491.96420478334454,0.01032302207909197
S11,g i n_d t j e n,t,n_d,j,voiceless,492.5551283889145,492.5710617490801,0.01593336016560442
S11,t u t,t,a,u,voiceless,493.5494748700552,493.5602467191813,0.01077184912605844
S11,k a r t e,k,t,a,voiceless,493.7372819077737,493.759,0.02171809222630827
S11,k a r t e,t,r,e,voiceless,493.9598410729071,493.9692664408924,0.00942536798527271
S11,h a n t i k,t,n,i,voiceless,495.6151481106256,495.6265932003219,0.01144508969639446
S11,e kh a rr i a,kh,e,a,voiceless,495.87749832911686,495.911,0.03350167088314038
S11,s_a u s_a t u t,t,s_a,u,voiceless,498.655,498.6689908544158,0.01399085441585157
S11,s_a u s_a t u t,t,u,i,voiceless,498.86616783233666,498.8749199597516,0.00875212741493669
S11,e t a,t,e,a,voiceless,499.8331481106256,499.8443687867985,0.01122067617291122
S11,u rr h y n e k o,k,e,o,voiceless,500.97410067502307,501.011,0.03689932497695736
S12,g e o,g,<p:>,e,voiced,1.98287857651096,2.018183395609756,-0.03530481909879612
S12,b e h i J,b,<p:>,e,voiced,6.146189853860292,6.190258280536804,-0.04406842667651123
S12,b o,b,<p:>,o,voiced,7.757998560838435,7.778280052661148,0.02028149182271299
S12,b e s_a t e,b,<p:>,e,voiced,13.82045968204496,13.85801800023517,-0.03755831819020905
S12,b e h a w k,b,<p:>,e,voiced,26.65023961871594,26.67177305447833,-0.02153343576238597
S12,b e h a r,b,NA,e,voiced,39.693,39.698,-0.00500000000000255
S12,b e th i,b,<p:>,e,voiced,66.55126994417483,66.56650168930777,0.01523174513293668
S12,b e h a r,b,<p:>,e,voiced,76.19646123719669,76.2325172226593,-0.03605598546261035
S12,d a n ts_m a n,d,<p:>,a,voiced,80.65618518840508,80.71026916659898,-0.05408397819390131
S12,b a l ts_a a n,b,<p:>,a,voiced,84.17387803657867,84.26477738914068,-0.09089935256200476
S12,b a l ts_a a n,b,<p:>,a,voiced,88.13910743081811,88.21222095689507,-0.07311352607695198
S12,g e o,g,<p:>,e,voiced,101.57900089356605,101.60451739324978,0.02551649968374647
S12,b i s_m i k i,b,<p:>,i,voiced,111.25515019749092,111.3307676114472,-0.07561741395628019
S12,g y,g,e,y,voiced,124.07521862416743,124.10751877781104,-0.03230015364358962
S12,b a rr e t a k,b,<p:>,a,voiced,144.78491380506867,144.84976450114377,-0.06485069607509786
S12,b a,b,<p:>,a,voiced,158.94873961871593,158.9665172226593,-0.01777760394335814
S12,b e th i,b,<p:>,e,voiced,177.0625273311456,177.06878705084395,-0.00625971969836314
S12,b e th i,b,<p:>,e,voiced,178.54970929325702,178.58751800023518,-0.0378087069781543
S12,b e th i,b,NA,e,voiced,183.82268052294987,183.87976916659895,-0.05708864364910937
S12,b e h a r,b,<p:>,e,voiced,197.8127209568951,197.84552188811455,-0.03280093121944105
S12,g j e l e k o a,g,<p:>,j,voiced,203.577,203.60606154448385,-0.02906154448385223
S12,b u l t a,b,NA,u,voiced,224.95122795507788,224.9772683890231,-0.02604043394521227
S12,g a ts_m,g,NA,a,voiced,229.58878705084396,229.6143267072133,-0.02553965636934663
S12,b e h a r,b,<p:>,e,voiced,249.2142528375057,249.22476916659895,-0.01051632909326372
S12,b a kh o tS a k,b,NA,a,voiced,250.0164565717415,250.05802111053865,-0.04156453879716082
S12,b i,b,NA,i,voiced,261.9245934344525,262.03701800023515,-0.11242456578264635
S12,b i,b,<p:>,i,voiced,263.76539436567197,263.84551877781104,-0.08012441213907096
S12,b e h o k,b,<p:>,e,voiced,265.97468829870854,266.05105687902864,-0.07636858032009286
S12,b e th i,b,<p:>,e,voiced,269.23576916659897,269.2574758699629,0.02170670336391822
S12,b e th i,b,a,e,voiced,270.000766046134,270.0232384398511,-0.02247239371712339
S12,b e n a,b,<p:>,e,voiced,284.46821162598474,284.5040172226594,-0.03580559667466332
S12,b e s_a t e n,b,<p:>,e,voiced,287.6424363547689,287.69326527871965,-0.05082892395074623
S12,b e s_a t e,b,NA,e,voiced,296.6527788347966,296.6626496554903,0.00987082069372036
S12,b a,b,<p:>,a,voiced,320.4804794806424,320.4847745853198,-0.00429510467745331
S12,g e o,g,NA,e,voiced,321.85536569862535,321.92545399768085,-0.07008829905549874
S12,b e th i,b,<p:>,e,voiced,326.57150327362956,326.578274527639,-0.00677125400943623
S12,b i s_m i k i t a n,b,<p:>,i,voiced,327.8200564173935,327.8991253898656,-0.07906897247210054
S12,b e h a r,b,<p:>,e,voiced,332.4859121047844,332.5155873734652,-0.02967526868081904
S12,b o n,b,<p:>,o,voiced,337.4504926508477,337.47274910235836,-0.02225645151065691
S12,b e a ts_m i,b,NA,e,voiced,344.6448064854378,344.65398962901844,0.00918314358062843
S12,b e th i,b,NA,e,voiced,352.34717885635325,352.383687246112,-0.03650838975875103
S12,b a j o n a n,b,<p:>,a,voiced,368.391,368.416,-0.02499999999997726
S12,b e rr i s_m,b,<p:>,e,voiced,379.165,379.2145667733489,-0.04956677334888582
S12,g j o,g,<p:>,j,voiced,379.9087819687296,379.92537669134714,-0.0165947226175831
S12,k i L a k a,k,<p:>,i,voiceless,4.159816726080957,4.182377765639375,0.02256103955841748
S12,k i L a k a,k,a,a,voiceless,4.432633587166514,4.447,0.01436641283348638
S12,g i n t j e n,t,n_d,j,voiceless,4.881606045768169,4.8950000000000005,0.01339395423183109
S12,p i L o t a n,t,o,a,voiceless,6.59906252108471,6.6181227096771655,0.01906018859245595
S12,k i L a k a,k,o,i,voiceless,7.118909852115915,7.144388267479301,0.02547841536338602
S12,k i L a k a,k,a,a,voiceless,7.42429968652254,7.444000000000001,0.01970031347746115
S12,s_m a kh y,kh,a,y,voiceless,8.796271294158235,8.821,0.02472870584176512
S12,u r th e t a k o,th,r,e,voiceless,9.709916658881292,9.736173041126005,0.0262563822447106
S12,e t a,t,e,a,voiceless,12.768217062327508,12.782220466191353,0.01400340386384613
S12,a ts_m y k,k,y,e,voiceless,14.314854769319227,14.339,0.02414523068077301
S12,s_m y t e n,t,y,e,voiceless,15.459,15.474414957911684,0.01541495791168223
S12,b e r e k o a k,k,e,o,voiceless,16.175684415133396,16.23,0.05431558486660393
S12,e ts_m y t e n,t,y,e,voiceless,16.71313358716651,16.729081908233667,0.01594832106715671
