sgds_point,id,a' c[h]as,a' chas b[h]eag,leis an [t-]sùil,f[h]ir bhig,a' chathair b[h]eag,an f[h]ir bhig,na balaich b[h]eaga,an t-sùil g[h]las,fhir b[h]ig,an [t-]sùil,an fhir b[h]ig,le sùil g[h]lais,fh[i]r bhig,[na] mnatha,[na] sùla glaise,[na] coise bige,an fh[i]r bhig,na [c]oise bige,na casan beag[a],fhir bh[i]g,na [mnatha],na cathraichean beag[a],[na] bà,an fhir bh[i]g,[na] cathrach bige,na balaich bheag[a],na sùla [g]laise,na sùilean glas[a],na [bà],na c[oi]se bige,na coise b[i]ge,nam [fear] beaga,na coise [b]ige,leis a' cho[i]s bhig,na cois[e] bige,don [bhoin],na cathrach b[i]ge,don [mhnaoi],na coise big[e],le c[oi]s bhig,na sùl[a] glaise,leis a' chois bh[i]g,leis an t-sùil g[h]lais,an [z]ùil ghlas,dà mhnaoi mhò[i]r,dà mhnaoi m[h]òir,le cois bh[i]g,na sùla gla[i]se,le sùil gla[i]s,leis an t-sùil ghla[i]s,na [cathrach] bige,na [sùla] glaise,dà [mhnaoi],nan [cas] beaga,nan [sùl] glas,district,township,census_point,1891_total,1891_gaelic,1891_g_pct,1891_mono,1891_mono_pct,lat,lon,gender,yob,orig_lon,orig_lat,fem_gender,aggregate,label_for_conservatism
Fortinghall,198,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,North West Perthshire,Fortinghall,Fortinghall,476,388,82,88,0.23,56.598865,-4.0505804,m,1872,-4.0505804,56.598865,FALSE,6,NA
Woodend,199,0,1,1,1,1,NA,0,0,1,0,NA,1,1,0,0,0,NA,0,0,1,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,0,0,0,0,1,NA,0,1,0,0,0,0,0,0,North West Perthshire,Woodend,Glenlyon,297,226,76,8,0.04,56.597098,-4.1026114,f,1899,-4.1026114,56.597098,TRUE,12,NA
Roroyare,200,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,North West Perthshire,Roroyare,Glenlyon,297,226,76,8,0.04,56.59424,-4.265341,m,1873,-4.265341,56.59424,FALSE,27,NA
Acharn,201,0,0,0,1,0,NA,0,0,0,0,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,0,1,NA,0,0,0,NA,1,0,0,NA,NA,0,0,NA,0,0,1,0,0,1,NA,0,NA,0,NA,0,0,NA,NA,North West Perthshire,Acharn,Kenmore,1038,702,68,12,0.02,56.562269,-4.0355798,m,1874,-4.0355798,56.562269,FALSE,5,NA
Carie,202,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,North West Perthshire,Carie,Glenlyon,297,226,76,8,0.04,56.505348,-4.211282,f,1884,-4.211282,56.505348,TRUE,14,NA
Tullochan,203,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,North West Perthshire,Tullochan,Ardeonaig,279,242,87,9,0.04,56.487967,-4.1777838,f,1891,-4.1777838,56.487967,TRUE,18,NA
Wester Lix,204,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,NA,0,0,0,0,0,NA,0,0,1,0,0,0,NA,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,North West Perthshire,Wester Lix,Killin Rural,527,359,68,5,0.01,56.43054,-4.3691276,f,1868,-4.3691276,56.43054,TRUE,20,NA
Tyndrum,205,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,NA,0,0,1,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,North West Perthshire,Tyndrum,Strathfillan,1360,521,38,53,0.1,56.451791,-4.7103921,m,1870,-4.7103921,56.451791,FALSE,21,NA
Balquidder,206,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,South West Perthshire,Balquidder,Balquidder,728,446,61,18,0.04,56.361495,-4.3792989,m,1875,-4.3792989,56.361495,FALSE,12,NA
Brig o' Turk,207,0,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,0,0,1,NA,0,0,0,0,0,0,0,0,South West Perthshire,Brig o' Turk,The Trossachs,302,158,52,1,0.01,56.235708,-4.377542,m,1869,-4.377542,56.235708,FALSE,14,NA
