sgds_point,id,a' c[h]as,a' chas b[h]eag,leis an [t-]sùil,f[h]ir bhig,a' chathair b[h]eag,an f[h]ir bhig,na balaich b[h]eaga,an t-sùil g[h]las,fhir b[h]ig,an [t-]sùil,an fhir b[h]ig,le sùil g[h]lais,fh[i]r bhig,[na] mnatha,[na] sùla glaise,[na] coise bige,an fh[i]r bhig,na [c]oise bige,na casan beag[a],fhir bh[i]g,na [mnatha],na cathraichean beag[a],[na] bà,an fhir bh[i]g,[na] cathrach bige,na balaich bheag[a],na sùla [g]laise,na sùilean glas[a],na [bà],na c[oi]se bige,na coise b[i]ge,nam [fear] beaga,na coise [b]ige,leis a' cho[i]s bhig,na cois[e] bige,don [bhoin],na cathrach b[i]ge,don [mhnaoi],na coise big[e],le c[oi]s bhig,na sùl[a] glaise,leis a' chois bh[i]g,leis an t-sùil g[h]lais,an [z]ùil ghlas,dà mhnaoi mhò[i]r,dà mhnaoi m[h]òir,le cois bh[i]g,na sùla gla[i]se,le sùil gla[i]s,leis an t-sùil ghla[i]s,na [cathrach] bige,na [sùla] glaise,dà [mhnaoi],nan [cas] beaga,nan [sùl] glas,district,township,census_point,1891_total,1891_gaelic,1891_g_pct,1891_mono,1891_mono_pct,lat,lon,gender,yob,orig_lon,orig_lat,fem_gender,aggregate,label_for_conservatism
Elgol,106,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,1,1,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,1,0,1,NA,0,NA,0,0,0,0,0,0,Skye,Elgol,Elgol,221,213,96,90,0.42,57.140722,-6.100881,f,1899,-6.100881,57.140722,TRUE,27,NA
Portnalong,107,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,1,0,1,0,1,NA,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Skye,Portnalong,Fiskavaig & Talisker,128,117,91,51,0.44,57.32057,-6.4216064,m,1880,-6.4216064,57.32057,FALSE,28,NA
Dunvegan,108,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,NA,NA,1,NA,1,0,1,NA,1,0,0,0,1,0,1,NA,0,0,1,0,0,1,1,1,1,0,0,1,0,NA,0,0,0,0,Skye,Dunvegan,Dunvegan,406,371,91,58,0.16,57.408071,-6.4999737,m,1889,-6.4999737,57.408071,FALSE,30,NA
Glendale,109,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,0,1,NA,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Skye,Glendale,Milovaig & Lephin,341,310,91,234,0.75,57.449571,-6.6982936,m,1899,-6.6982936,57.449571,FALSE,31,NA
Trumpan,110,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,NA,0,0,1,0,0,0,Skye,Trumpan,Dun Hallin & Halistra,287,280,98,167,0.6,57.557851,-6.6335683,m,1894,-6.6335683,57.557851,FALSE,36,NA
Bernisdale,111,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,Skye,Bernisdale,Bernisdale,283,264,93,104,0.39,57.46551,-6.3375171,f,1894,-6.3375171,57.46551,TRUE,27,NA
Uig,112,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,Skye,Uig,Uig,208,198,95,8,0.04,57.590902,-6.3524603,m,1909,-6.3524603,57.590902,FALSE,33,NA
Staffin,113,1,1,1,1,1,1,0,1,1,1,1,NA,1,1,1,0,0,0,NA,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,NA,0,0,0,0,0,0,Skye,Staffin,Staffin,303,287,95,117,0.41,57.639104,-6.257621,f,1889,-6.257621,57.639104,TRUE,23,NA
Peinchorran,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,NA,0,0,1,1,0,0,0,0,0,0,0,NA,0,0,NA,0,0,1,1,0,1,NA,0,0,0,NA,0,0,0,0,Skye,Peinchorran,Peinchorran,326,314,96,177,0.56,57.324645,-6.1211812,m,1889,-6.1211812,57.324645,FALSE,27,NA
Caol Rona,115,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,NA,0,0,1,1,0,1,NA,0,0,0,1,0,0,0,0,Raasay,Caol Rona,Raasay,438,394,90,102,0.26,57.494449,-6.0069222,f,1906,-6.0069222,57.494449,TRUE,29,NA
