subject,trial,Condition,Age,pupil_max
4,26,Sparse,YA,625.3
4,27,Dense,YA,770.381081081082
4,28,Sparse,YA,98.9800000000001
4,29,Dense,YA,464.78
4,30,Sparse,YA,130.52
4,31,Sparse,YA,665.299999999999
4,32,Sparse,YA,828.46
4,33,Sparse,YA,229.24
4,34,Dense,YA,283.1
4,35,Sparse,YA,699.38
4,36,Sparse,YA,580.798974358974
4,37,Dense,YA,144.14
4,38,Dense,YA,27.7200000000001
4,39,Dense,YA,104.62
4,40,Sparse,YA,644.62
4,41,Sparse,YA,587.4
4,42,Dense,YA,726.52
4,43,Sparse,YA,316.32
4,44,Dense,YA,498.66
4,45,Sparse,YA,302
4,46,Dense,YA,986.22
4,47,Sparse,YA,159.56
4,48,Dense,YA,251.165714285714
4,49,Dense,YA,480.36
4,50,Sparse,YA,442.78
4,51,Sparse,YA,872.9
4,52,Dense,YA,27.7200000000004
4,53,Sparse,YA,139.58
4,54,Sparse,YA,778.5
4,55,Dense,YA,862.6
4,56,Dense,YA,17.6400000000002
4,57,Sparse,YA,695.08
4,58,Dense,YA,123.064545454546
4,59,Sparse,YA,28.1861728395063
4,60,Sparse,YA,227.12
4,61,Dense,YA,407.4
4,62,Sparse,YA,52.9200000000002
4,63,Sparse,YA,276.7
4,64,Dense,YA,206.650588235294
4,65,Sparse,YA,83.3800000000001
4,66,Dense,YA,183.54
4,67,Sparse,YA,275.26
4,68,Sparse,YA,134.12
4,69,Dense,YA,711.3
4,70,Dense,YA,707.44
4,71,Dense,YA,120.779230769231
4,72,Sparse,YA,57.3017811704838
4,73,Dense,YA,215.72
4,74,Dense,YA,887.72
4,75,Sparse,YA,909.926976744186
4,76,Sparse,YA,289.4
4,77,Dense,YA,229.44
4,78,Sparse,YA,645.64
4,79,Dense,YA,138.6
4,80,Sparse,YA,993.507279151944
5,1,Dense,YA,146.1
5,2,Dense,YA,181.360000000001
5,3,Dense,YA,413.86
5,4,Dense,YA,543.68
5,5,Sparse,YA,187.48
5,6,Dense,YA,506.82
5,7,Sparse,YA,760.960000000001
5,8,Sparse,YA,1053.94
5,9,Dense,YA,23.9599999999993
5,10,Sparse,YA,23.8599999999995
5,11,Sparse,YA,48.319999999999
5,12,Sparse,YA,48.5000000000002
5,13,Dense,YA,640.76
5,14,Sparse,YA,348.796867469879
5,15,Sparse,YA,233.62
5,16,Sparse,YA,535.42
5,17,Dense,YA,412.02
5,18,Dense,YA,595.06
5,19,Sparse,YA,546.72
5,20,Sparse,YA,239.160000000001
5,21,Dense,YA,548.02
5,22,Dense,YA,203.88
5,23,Sparse,YA,97.0600000000005
5,24,Dense,YA,1288.72
5,25,Dense,YA,260.139999999999
5,26,Sparse,YA,141.3
5,27,Sparse,YA,12.0799999999997
5,28,Sparse,YA,211.32
5,29,Dense,YA,526.5
5,30,Dense,YA,256.76
5,31,Dense,YA,727.46
5,32,Sparse,YA,325.02
5,33,Sparse,YA,437.56
5,34,Sparse,YA,691.4
5,35,Sparse,YA,166.74
5,36,Sparse,YA,724.86
5,37,Dense,YA,410.48
5,38,Dense,YA,322.06
5,39,Dense,YA,965.42
5,40,Dense,YA,1165.18
5,41,Sparse,YA,830.78
5,42,Dense,YA,479.98
5,43,Dense,YA,240.34
5,44,Sparse,YA,537.32
5,45,Dense,YA,170.44
5,46,Sparse,YA,352.679999999999
5,47,Sparse,YA,1025
5,48,Sparse,YA,692.8
5,49,Dense,YA,12.3400000000007
5,50,Sparse,YA,391.42
5,51,Dense,YA,374.76
5,52,Sparse,YA,61.2199999999993
5,53,Sparse,YA,39.5199999999992
5,54,Sparse,YA,63.0799999999997
5,55,Dense,YA,765.38
5,56,Dense,YA,659.7
5,57,Dense,YA,91.700621118012
5,58,Sparse,YA,446.2
5,59,Sparse,YA,87.9400000000009
5,60,Sparse,YA,580.320000000001
5,61,Dense,YA,110.603809523809
5,62,Sparse,YA,33.5799999999997
5,63,Dense,YA,454.6
5,64,Dense,YA,584.12
5,65,Dense,YA,291.82
5,66,Dense,YA,64.4600000000002
5,67,Sparse,YA,1659.1
5,68,Sparse,YA,1093.02
5,69,Sparse,YA,232.02
5,70,Sparse,YA,571.84
5,71,Dense,YA,122.62
5,72,Dense,YA,512.54
5,73,Sparse,YA,283.200000000001
