id,place_etym,context,prev_sound,sound_etym,next_sound,letter,category,freqGO,freqLUB,loan,page,frequency,manner,lexeme,form,spelling,frequency_class
31334,apical,_C,e,s,k,s,content,0.02,2.84,yes,396,-1.5965049459879,fricative,deskantsu,de#s#canzua,ConSpell,low
31337,laminal,_V,l,z/tz,e,c,grammatical,2.69,2.84,no,397,-0.374025339784753,affricate,bidali,bidal#c#en,ConSpell,mid
31338,apical,_V,i,s,i,s,content,0.05,2.84,yes,397,-1.36797652371648,fricative,misio,mi#s#ioa,ConSpell,low
31339,laminal,_V,a,z,e,c,content,79.39,60.27,no,397,0.470171935096234,fricative,joan,gua#c#en,ConSpell,high
31340,apical,_C,a,s,t,s,content,3.4,9.22,no,397,-0.315605911330519,fricative,laster,la#s#ter,ConSpell,mid
31341,laminal,_V,ei,z,a,z,content,1.01,8.51,old,397,-0.618341195605193,fricative,eliza,elei#z#ara,ConSpell,mid
31342,laminal,_#,e,z,&,z,grammatical,3.32,2.13,no,397,-0.321544430394337,fricative,dei,deie#z#,ConSpell,mid
31343,laminal,_V,o,tz,u,z,content,140.04,5.67,no,397,0.611723737018479,affricate,egon,dago#z#u,ConSpell,high
31344,laminal,_V,eu,tz,i,c,content,26.44,1.42,no,397,0.195951415385714,affricate,eutzi,eu#c#i,ConSpell,mid
31345,laminal,_#,a,z,&,z,content,79.39,60.27,no,397,0.470171935096234,fricative,joan,basoa#z#,ConSpell,high
31346,laminal,_V,a,z,o,s,content,79.39,60.27,no,397,0.470171935096234,fricative,joan,ba#s#oaz,InnSpell,high
31347,apical,_V,i,s,i,s,content,0.05,2.84,yes,397,-1.36797652371648,fricative,misio,mi#s#iora,ConSpell,low
31348,laminal,_V,i,z,i,c,content,0.01,1.42,old,397,-1.76938002380436,fricative,bendizio,bendi#c#ioz,ConSpell,low
31349,laminal,_#,o,z,&,z,grammatical,0.01,1.42,old,397,-1.76938002380436,fricative,bendizio,bendicio#z#,ConSpell,low
31351,laminal,_V,i,z,a,z,grammatical,677.35,674.99,no,397,1.00485247356585,fricative,izan,y#z#ango,ConSpell,high
31352,laminal,_V,e,z,u,z,grammatical,805,302.75,no,397,1.04791345786226,fricative,edun,de#z#u,ConSpell,high
31354,laminal,_V,a,tz,e,s,grammatical,11.87,6.38,yes,397,-0.0037888370861464,affricate,pasatu,pasa#s#en,InnSpell,mid
31355,apical,_V,a,s,a,s,content,11.87,6.38,yes,397,-0.0037888370861464,fricative,pasatu,pa#s#asen,ConSpell,mid
31356,laminal,#_,&,z,e,z,grammatical,73.3,243.9,no,397,0.450266390204953,fricative,zu,#z#eure,ConSpell,high
31358,laminal,_#,a,z,&,z,content,79.39,60.27,no,397,0.470171935096234,fricative,joan,zoa#z#,ConSpell,high
