word_string,word_type,word_gender,word_represents_animate,word_num_letters,word_frequency,concreteness_n,concreteness_mean,concreteness_median,concreteness_stddev,concreteness_min,concreteness_max,subjective_frequency_n,subjective_frequency_mean,subjective_frequency_median,subjective_frequency_stddev,subjective_frequency_min,subjective_frequency_max,imageability_n,imageability_mean,imageability_median,imageability_stddev,imageability_min,imageability_max,age_of_acquisition_n,age_of_acquisition_mean,age_of_acquisition_median,age_of_acquisition_stddev,age_of_acquisition_min,age_of_acquisition_max,rt_milliseconds_mean,rt_milliseconds_median,rt_milliseconds_stddev,rt_milliseconds_min,rt_milliseconds_max,rt_milliseconds_n
skica,Nc,f,inanimate,5,8020,30,4.46666666667,5,0.95684667296,2,5,30,3.53333333333,4,0.884433277428,1,5,30,4.03333333333,5,1.1685698762,2,5,30,8.2,8,2.6,3,13,565.675,537.5,106.90551483700035,390,865,40
pločica,Nc,f,inanimate,7,28034,30,4.86666666667,5,0.33993463424,4,5,30,3.66666666667,4,0.86922698736,2,5,30,4.66666666667,5,0.649786289654,3,5,30,5.8,5.5,2.46846781088,2,12,638.0714285714286,523,293.80144223003055,368,1738,42
stupanje,Nc,n,inanimate,8,9962,30,3.96666666667,4,1.0482790129,2,5,30,2.73333333333,3,1.06249183003,1,4,30,3.93333333333,4,1.12348663642,1,5,30,8.73333333333,9,2.63227826965,3,14,620.8,551,229.94115189181196,383,1349,40
novogradnja,Nc,f,inanimate,11,6519,30,3.5,4,1.40830867829,1,5,30,2.63333333333,3,1.0482790129,1,5,30,3.8,4,1.24899959968,1,5,30,10.4333333333,10.5,3.68495439441,3,18,662.0238095238095,598,343.6741570856735,409,2553,42
posredstvo,Nc,n,inanimate,10,6902,30,2.1,2,1.04403065089,1,4,30,2.13333333333,2,0.884433277428,1,4,30,2.76666666667,2.5,1.30851909509,1,5,30,10.7,12,2.96816441593,2,15,770.2,703,306.5982253615826,410,1769,40
gnojivo,Nc,n,inanimate,7,9081,30,4.76666666667,5,0.615539510421,2,5,30,2.66666666667,3,0.788810637747,1,5,30,4.5,5,0.80622577483,2,5,30,6.7,7,2.4378952671,2,12,641.65,628,131.80921527256442,449,1016,40
zdenac,Nc,m,inanimate,6,3883,30,4.96666666667,5,0.179505493571,4,5,30,2.36666666667,2,1.1685698762,1,5,30,4.53333333333,5,0.921351664072,1,5,30,6.96666666667,6.5,2.84585468513,3,16,773.1891891891892,681,575.5370360627367,468,4054,37
pređa,Nc,f,inanimate,5,6715,28,3.57142857143,4,1.4742691029,1,5,29,1.13793103448,1,0.433441554827,1,3,29,2.75862068966,3,1.43009940368,1,5,27,11.4074074074,10,6.25542288744,0,23,1218.8333333333333,1144.5,804.3362970722376,464,3499,12
priljev,Nc,m,inanimate,7,5744,30,3,3,1.3416407865,1,5,30,1.9,1.5,1.13578166916,1,5,30,3.1,3,1.16476034731,1,5,30,10.4333333333,10,3.06249716553,3,16,949.90625,846.5,397.01120154628615,489,2104,32
odvjetnik,Nc,m,animate,9,87181,30,4.73333333333,5,0.512076383191,3,5,30,3.33333333333,3,0.829993306533,1,5,30,4.46666666667,5,0.763034876151,3,5,30,7.53333333333,7,2.62974438978,2,12,540.1190476190476,512.5,123.97171242665674,358,1026,42
sloga,Nc,f,inanimate,5,8469,30,2.36666666667,2,1.30341431973,1,5,30,2.63333333333,3,0.91226214556,1,5,30,3.2,3,1.35154232885,1,5,30,7.26666666667,7,2.30843862576,3,12,581.5714285714286,564.5,143.8054483273882,365,1003,42
pokaz,Nc,m,inanimate,5,7182,30,4.8,5,0.6,2,5,30,4.26666666667,5,1.03064165558,1,5,30,4.66666666667,5,0.649786289654,2,5,30,9.9,9.5,4.08533964316,0,19,598.7380952380952,532,213.12850349298998,344,1291,42
